match_id,season,date,team1,team2,venue,city,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,player_of_match,match_number,result_type,result_margin
2012_02,2012,2012-04-05,KKR,DD,Eden Gardens,Kolkata,DD,field,DD,0,8,IK Pathan,2,wickets,8
2012_09,2012,2012-04-09,SRH,MI,ACA-VDCA Stadium,Visakhapatnam,SRH,bat,MI,0,5,RG Sharma,9,wickets,5
2012_11,2012,2012-04-10,DD,CSK,Arun Jaitley Stadium,Delhi,DD,field,DD,0,8,M Morkel,11,wickets,8
2012_13,2012,2012-04-12,KXIP,PW,PCA IS Bindra Stadium,Chandigarh,KXIP,field,KXIP,0,7,AD Mascarenhas,13,wickets,7
2012_14,2012,2012-04-12,CSK,RCB,MA Chidambaram Stadium,Chennai,RCB,bat,CSK,0,5,F du Plessis,14,wickets,5
2012_15,2012,2012-04-13,KKR,RR,Eden Gardens,Kolkata,RR,bat,KKR,0,5,Shakib Al Hasan,15,wickets,5
2012_16,2012,2012-04-14,PW,CSK,Subrata Roy Sahara Stadium,Pune,CSK,bat,PW,0,7,JD Ryder,16,wickets,7
2012_19,2012,2012-04-16,MI,DD,Wankhede Stadium,Mumbai,DD,field,DD,0,7,S Nadeem,19,wickets,7
2012_20,2012,2012-04-17,RCB,PW,M Chinnaswamy Stadium,Bangalore,PW,bat,RCB,0,6,CH Gayle,20,wickets,6
2012_21,2012,2012-04-17,RR,SRH,Sawai Mansingh Stadium,Jaipur,SRH,bat,RR,0,5,BJ Hodge,21,wickets,5
2012_22,2012,2012-04-18,KXIP,KKR,PCA IS Bindra Stadium,Chandigarh,KXIP,bat,KKR,0,8,G Gambhir,22,wickets,8
2012_23,2012,2012-04-19,DD,SRH,Arun Jaitley Stadium,Delhi,SRH,bat,DD,0,5,KP Pietersen,23,wickets,5
2012_25,2012,2012-04-20,KXIP,RCB,PCA IS Bindra Stadium,Chandigarh,RCB,field,RCB,0,5,CH Gayle,25,wickets,5
2012_27,2012,2012-04-21,CSK,RR,MA Chidambaram Stadium,Chennai,RR,bat,CSK,0,7,F du Plessis,27,wickets,7
2012_29,2012,2012-04-22,SRH,KKR,Barabati Stadium,Cuttack,KKR,field,KKR,0,5,B Lee,29,wickets,5
2012_28,2012,2012-04-22,MI,KXIP,Wankhede Stadium,Mumbai,MI,bat,KXIP,0,6,SE Marsh,28,wickets,6
2012_31,2012,2012-04-24,PW,DD,Subrata Roy Sahara Stadium,Pune,PW,bat,DD,0,8,V Sehwag,31,wickets,8
2012_32,2012,2012-04-25,KXIP,MI,PCA IS Bindra Stadium,Chandigarh,KXIP,bat,MI,0,4,AT Rayudu,32,wickets,4
2012_37,2012,2012-04-29,MI,SRH,Wankhede Stadium,Mumbai,MI,field,MI,0,5,DW Steyn,37,wickets,5
2012_39,2012,2012-04-30,CSK,KKR,MA Chidambaram Stadium,Chennai,CSK,bat,KKR,0,5,G Gambhir,39,wickets,5
2012_41,2012,2012-05-01,RR,DD,Sawai Mansingh Stadium,Jaipur,RR,bat,DD,0,6,P Negi,41,wickets,6
2012_42,2012,2012-05-02,RCB,KXIP,M Chinnaswamy Stadium,Bangalore,KXIP,field,KXIP,0,4,Azhar Mahmood,42,wickets,4
2012_48,2012,2012-05-06,MI,CSK,Wankhede Stadium,Mumbai,MI,field,MI,0,2,DR Smith,48,wickets,2
2012_47,2012,2012-05-06,RCB,SRH,M Chinnaswamy Stadium,Bangalore,RCB,field,RCB,0,5,AB de Villiers,47,wickets,5
2012_49,2012,2012-05-07,DD,KKR,Arun Jaitley Stadium,Delhi,DD,bat,KKR,0,6,JH Kallis,49,wickets,6
2012_50,2012,2012-05-08,PW,RR,Subrata Roy Sahara Stadium,Pune,PW,bat,RR,0,7,SR Watson,50,wickets,7
2012_52,2012,2012-05-09,MI,RCB,Wankhede Stadium,Mumbai,RCB,field,RCB,0,9,CH Gayle,52,wickets,9
2012_53,2012,2012-05-10,SRH,DD,Rajiv Gandhi Intl. Stadium,Hyderabad,SRH,bat,DD,0,9,DA Warner,53,wickets,9
2012_54,2012,2012-05-10,RR,CSK,Sawai Mansingh Stadium,Jaipur,CSK,field,CSK,0,4,BW Hilfenhaus,54,wickets,4
2012_57,2012,2012-05-12,CSK,DD,MA Chidambaram Stadium,Chennai,CSK,field,CSK,0,9,BW Hilfenhaus,57,wickets,9
2012_59,2012,2012-05-13,KXIP,SRH,PCA IS Bindra Stadium,Chandigarh,SRH,bat,KXIP,0,4,DJ Hussey,59,wickets,4
2012_60,2012,2012-05-14,KKR,CSK,Eden Gardens,Kolkata,CSK,field,CSK,0,5,MEK Hussey,60,wickets,5
2012_61,2012,2012-05-14,RCB,MI,M Chinnaswamy Stadium,Bangalore,MI,field,MI,0,5,AT Rayudu,61,wickets,5
2012_62,2012,2012-05-15,DD,KXIP,Arun Jaitley Stadium,Delhi,KXIP,bat,DD,0,5,UT Yadav,62,wickets,5
2012_65,2012,2012-05-17,KXIP,CSK,HPCA Stadium,Dharamsala,KXIP,field,KXIP,0,6,AC Gilchrist,65,wickets,6
2012_66,2012,2012-05-18,SRH,RR,Rajiv Gandhi Intl. Stadium,Hyderabad,RR,bat,SRH,0,5,DW Steyn,66,wickets,5
2012_67,2012,2012-05-19,KXIP,DD,HPCA Stadium,Dharamsala,DD,field,DD,0,6,UT Yadav,67,wickets,6
2012_70,2012,2012-05-20,RR,MI,Sawai Mansingh Stadium,Jaipur,RR,bat,MI,0,10,DR Smith,70,wickets,10
2012_74,2012,2012-05-27,KKR,CSK,MA Chidambaram Stadium,Chennai,CSK,bat,KKR,0,5,MS Bisla,74,wickets,5
2013_01,2013,2013-04-03,KKR,DD,Eden Gardens,Kolkata,KKR,field,KKR,0,6,SP Narine,1,wickets,6
2013_06,2013,2013-04-07,PW,KXIP,Subrata Roy Sahara Stadium,Pune,PW,bat,KXIP,0,8,M Vohra,6,wickets,8
2013_09,2013,2013-04-09,RCB,SRH,M Chinnaswamy Stadium,Bangalore,SRH,bat,RCB,0,7,V Kohli,9,wickets,7
2013_11,2013,2013-04-10,KXIP,CSK,PCA IS Bindra Stadium,Chandigarh,CSK,field,CSK,0,10,MEK Hussey,11,wickets,10
2013_12,2013,2013-04-11,PW,RR,Subrata Roy Sahara Stadium,Pune,RR,bat,PW,0,7,AJ Finch,12,wickets,7
2013_13,2013,2013-04-11,RCB,KKR,M Chinnaswamy Stadium,Bangalore,RCB,field,RCB,0,8,CH Gayle,13,wickets,8
2013_14,2013,2013-04-12,DD,SRH,Arun Jaitley Stadium,Delhi,DD,bat,SRH,0,3,A Mishra,14,wickets,3
