match_id,season,team1,team2,winner,nrr
2014_33,2014,MI,CSK,CSK,-0.2720782654680072
2014_34,2014,RCB,RR,RR,-0.5918644067796599
2014_35,2014,KXIP,KKR,KKR,-0.780239255649092
2014_36,2014,SRH,MI,MI,-0.7510518934081345
2014_37,2014,RCB,DD,RCB,0.7021935483870987
2014_38,2014,CSK,RR,CSK,-0.04878048780487809
2014_39,2014,SRH,KXIP,KXIP,-1.668656102078618
2014_40,2014,KKR,MI,KKR,-0.5768275862068961
2014_41,2014,RR,DD,RR,3.028952380952381
2014_42,2014,CSK,RCB,RCB,-0.2518992403038789
2014_43,2014,SRH,KKR,KKR,-0.6618240516545599
2014_45,2014,RR,MI,MI,1.4545803725753803
2014_44,2014,DD,KXIP,KXIP,0.261065266316578
2014_46,2014,SRH,RCB,SRH,-0.17859302559967727
2014_47,2014,KKR,CSK,KKR,-1.0749608413515332
2014_48,2014,KXIP,MI,MI,-0.3402439024390249
2014_49,2014,KKR,RCB,KKR,1.2452459016393451
2014_50,2014,CSK,SRH,SRH,-0.19834710743801587
2014_51,2014,MI,DD,MI,0.9426829268292689
2014_52,2014,KXIP,RR,KXIP,0.7100708103855222
2014_53,2014,KKR,SRH,KKR,-2.9913978494623654
2014_54,2014,RCB,CSK,CSK,-1.5203497135966249
2014_55,2014,MI,RR,MI,-3.4978791092258756
2014_56,2014,KXIP,DD,KXIP,-1.8062556938961443
2014_57,2014,KXIP,KKR,KKR,1.31187524990004
2014_58,2014,CSK,MI,CSK,-0.29915254237288025
2014_59,2014,CSK,KXIP,KXIP,1.0428779069767433
2014_60,2014,KKR,KXIP,KKR,0.03078768492603068
2015_01,2015,KKR,MI,KKR,-0.764253590599159
2015_02,2015,CSK,DD,CSK,0.16507317073170746
2015_03,2015,KXIP,RR,RR,1.1685531496063
2015_04,2015,KKR,RCB,RCB,-0.7049840933191938
2015_05,2015,CSK,SRH,CSK,1.861391129032259
2015_06,2015,DD,RR,RR,-0.2350866141732304
2015_07,2015,MI,KXIP,KXIP,1.0021463414634146
2015_08,2015,RCB,SRH,SRH,-1.3925353925353914
2015_09,2015,RR,MI,RR,-0.18709632613376037
2015_10,2015,KXIP,DD,DD,-0.12710911136107939
2015_11,2015,SRH,RR,RR,-0.242709677419354
2015_12,2015,MI,CSK,CSK,-1.3613775065387976
2015_13,2015,KXIP,KKR,KKR,-1.2723577235772368
2015_14,2015,SRH,DD,DD,-0.13026367571822028
2015_16,2015,RR,CSK,RR,-0.8767303889255107
2015_15,2015,RCB,MI,MI,1.2446361940298498
2015_17,2015,DD,KKR,KKR,-0.9226190476190466
2015_18,2015,RR,KXIP,,-0.37583628492719434
2015_19,2015,RCB,CSK,CSK,1.1929046563192918
2015_20,2015,SRH,KKR,SRH,0.46654851572884404
2015_21,2015,DD,MI,DD,1.8045029527559056
2015_22,2015,RR,RCB,RCB,-1.9471963791802853
2015_23,2015,CSK,KXIP,CSK,4.470725995316158
2015_24,2015,MI,SRH,MI,0.6193987521270561
2015_25,2015,DD,RCB,RCB,-4.224668435013262
2015_26,2015,KXIP,SRH,SRH,1.2599999999999998
2015_27,2015,CSK,KKR,CSK,-0.10831572882658058
2015_28,2015,RCB,RR,,0.0
2015_29,2015,KKR,CSK,KKR,-0.06266525647805388
