batter,position,runs,balls,dismissals,innings,batting_average,batting_strike_rate
PD Salt,3,79,53,3,3,26.333333333333332,149.0566037735849
PD Salt,4,31,17,1,2,31.0,182.35294117647058
PJ Cummins,6,5,4,1,1,5.0,125.0
PJ Cummins,7,172,114,7,10,24.571428571428573,150.87719298245614
PJ Cummins,8,230,154,15,19,15.333333333333334,149.35064935064935
PJ Cummins,9,108,87,6,9,18.0,124.13793103448276
PJ Sangwan,8,8,29,5,6,1.6,27.586206896551722
PJ Sangwan,9,9,10,2,5,4.5,90.0
PJ Sangwan,10,9,8,1,3,9.0,112.5
PK Garg,1,21,20,2,2,10.5,105.0
PK Garg,2,52,40,3,2,17.333333333333332,130.0
PK Garg,3,4,7,1,1,4.0,57.14285714285714
PK Garg,4,55,67,5,5,11.0,82.08955223880598
PK Garg,5,109,86,5,6,21.8,126.74418604651163
PK Garg,6,29,22,2,2,14.5,131.8181818181818
PK Garg,7,3,5,1,1,3.0,60.0
PM Sarvesh Kumar,10,1,2,0,1,1.0,50.0
PN Mankad,2,3,6,1,1,3.0,50.0
PN Mankad,3,90,68,2,3,45.0,132.35294117647058
PN Mankad,7,4,1,0,1,4.0,400.0
PP Chawla,3,8,5,1,1,8.0,160.0
PP Chawla,4,33,36,2,2,16.5,91.66666666666666
PP Chawla,5,44,40,1,2,44.0,110.00000000000001
PP Chawla,6,38,25,1,3,38.0,152.0
PP Chawla,7,29,37,7,8,4.142857142857143,78.37837837837837
PP Chawla,8,325,311,30,42,10.833333333333334,104.5016077170418
PP Chawla,9,125,107,13,22,9.615384615384615,116.82242990654206
PP Chawla,10,22,19,2,6,11.0,115.78947368421053
PP Ojha,9,1,2,1,2,1.0,50.0
PP Ojha,10,11,37,7,13,1.5714285714285714,29.72972972972973
PP Ojha,11,4,6,2,4,2.0,66.66666666666666
PP Shaw,1,1793,1244,71,73,25.253521126760564,144.13183279742765
PP Shaw,2,99,77,6,6,16.5,128.57142857142858
PR Shah,3,11,23,1,1,11.0,47.82608695652174
PR Shah,4,29,19,1,1,29.0,152.63157894736844
PR Shah,5,19,23,1,1,19.0,82.6086956521739
PR Shah,6,5,5,1,1,5.0,100.0
PR Shah,7,27,25,3,3,9.0,108.0
PR Shah,8,0,1,1,1,0.0,0.0
PR Shah,9,1,1,0,1,1.0,100.0
PSP Handscomb,4,6,12,1,1,6.0,50.0
PV Tambe,10,10,25,0,2,10.0,40.0
PV Tambe,11,8,14,1,4,8.0,57.14285714285714
PVD Chameera,7,0,1,0,1,0.0,0.0
PVD Chameera,8,29,18,2,4,14.5,161.11111111111111
PVD Chameera,9,14,13,1,2,14.0,107.6923076923077
PWH de Silva,7,1,3,2,3,0.5,33.33333333333333
PWH de Silva,8,60,51,7,8,8.571428571428571,117.64705882352942
PWH de Silva,9,11,26,2,3,5.5,42.30769230769231
Pankaj Singh,8,1,1,0,1,1.0,100.0
